Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent
PNW,0.18,0.84,1149685.0,0.21,0.01,1.49,0.0001,0.0962,4.57,0.06
PG,0.19,0.76,7597700.0,-0.04,2.79,0.23,0.0003,0.4778,1.87,0.01
PGR,0.24,0.8,3177360.0,0.1,0.83,-0.36,0.0002,0.1188,1.83,0.01
PWR,0.4,0.84,1240635.0,0.43,-0.25,-9.92,0.001,2.8139,3.19,0.03
RL,0.4,0.79,753210.0,0.12,-1.66,-4.17,0.0003,0.5614,2.69,0.05
RJF,0.29,0.75,901745.0,2.0,1.19,-1.93,0.0009,19.7568,6.83,0.04
RSG,0.18,0.86,1376880.0,-0.48,0.63,-4.42,0.0001,1.5862,1.62,0.01
RMD,0.29,0.56,1120380.0,1.87,3.1,6.97,0.0002,0.3101,9.55,0.07
ROL,0.21,0.83,1349635.0,-0.02,1.15,0.11,0.0,0.2424,3.99,0.02
ROST,0.26,2.37,3268335.0,1.12,0.21,6.45,0.0014,3.3704,2.15,0.02
CRM,0.32,0.85,7850305.0,1.0,2.41,-7.74,0.0016,0.6026,2.29,0.01
SBAC,0.25,0.6,860225.0,0.9,1.84,-4.25,0.0002,6.9048,2.65,0.02
SLB,0.37,1.3,12363130.0,5.32,7.94,0.39,0.0009,1.3932,1.96,0.02
SHW,0.24,1.1,2094805.0,2.49,2.34,9.89,0.0002,0.3587,1.86,0.01
SPG,0.26,0.88,1491880.0,1.8,1.89,5.65,0.0013,0.2097,3.33,0.02
SNA,0.26,0.93,249060.0,3.62,2.83,1.51,0.0003,0.6667,6.79,0.06
SO,0.18,0.59,5604650.0,-0.15,1.23,-0.13,0.0002,0.5478,5.93,0.03
STE,0.23,0.69,542300.0,1.77,2.57,9.29,0.0004,7.1,1.52,0.01
SMCI,1.14,0.59,40993375.0,3.71,-3.28,-19.44,0.0044,0.3005,2.36,0.24
SNPS,0.4,0.68,1265510.0,1.4,-1.84,0.83,0.0003,1.8729,1.67,0.02
SYY,0.21,0.71,3414930.0,0.72,0.97,-0.01,0.0002,0.3109,4.61,0.03
TMUS,0.28,1.04,3841845.0,-2.41,-1.05,3.45,0.0009,2.197,2.87,0.03
TROW,0.29,0.91,1469740.0,3.6,1.17,1.27,0.0003,1.1557,5.57,0.05
TJX,0.18,1.04,5535830.0,-0.71,2.96,8.33,0.0002,0.5533,2.45,0.01
TTD,0.82,0.53,19225815.0,1.72,2.07,-38.24,0.002,0.3907,2.26,0.07
TT,0.28,0.78,1297745.0,0.44,0.16,-10.16,0.0006,0.5873,2.52,0.02
TDG,0.29,0.61,412535.0,1.1,1.48,-12.38,0.0008,3.7302,5.23,0.03
TRV,0.25,1.2,1212705.0,0.5,4.03,5.84,0.0001,1.1163,2.65,0.02
TYL,0.25,0.85,394795.0,-0.98,-1.9,0.84,0.0008,0.5274,3.51,0.03
UAL,0.57,1.17,5158125.0,5.96,2.03,13.03,0.0016,4.2038,1.73,0.05
URI,0.37,1.54,498155.0,4.47,2.32,4.69,0.0015,0.4988,3.1,0.04
UHS,0.35,0.67,933865.0,0.89,3.98,19.27,0.0007,0.0885,2.02,0.05
VICI,0.19,1.59,7476830.0,1.33,2.77,0.06,0.0,0.2541,4.95,0.03
V,0.23,0.77,6489955.0,1.85,1.62,-1.79,0.001,0.8797,4.7,0.02
WRB,0.23,0.76,1871155.0,-0.51,1.91,4.57,0.0001,0.3492,2.76,0.02
GWW,0.25,0.94,353355.0,2.8,5.35,-2.82,0.001,0.4257,3.0,0.03
WAB,0.28,0.65,1313865.0,2.26,3.48,-0.62,0.0001,0.15,2.11,0.02
WMT,0.24,1.79,18234285.0,-1.15,-3.17,-0.42,0.0027,0.3604,2.77,0.0
WM,0.18,0.71,1869705.0,-1.13,0.09,-1.15,0.0002,0.4144,2.29,0.01
WFC,0.33,0.84,13474890.0,1.63,2.59,-5.64,0.0009,0.3154,2.08,0.01
WELL,0.22,1.08,2587715.0,-1.5,0.94,2.23,0.0003,2.3254,4.14,0.02
XEL,0.2,0.88,3840245.0,1.5,3.24,2.2,0.0001,0.3189,3.3,0.02
XYL,0.26,0.95,1243090.0,2.51,2.08,8.43,0.0001,0.3478,1.99,0.01
ZTS,0.26,0.7,3450085.0,0.65,1.63,2.96,0.0002,1.3069,2.16,0.02
