Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent,Volume_Score,Price_Change_Score,Relative_Strength_Score,Historical_Vol_Score,Options_Score,Short_Squeeze_Score,Composite_Score,Rank
CAT,0.3,1.1,3447100.0,4.25,6.84,0.44,0.0033,0.3006,2.51,0.01,85.03184713375796,96.17834394904459,47.13375796178344,63.05732484076433,70.12738853503186,39.64968152866243,70.91401273885351,17.0
MO,0.19,1.09,8780465.0,-0.01,2.81,13.08,0.0008,0.6318,3.46,0.02,83.7579617834395,86.62420382165605,96.17834394904459,10.828025477707007,60.6687898089172,55.70063694267515,70.90445859872612,18.0
UHS,0.35,0.67,933865.0,0.89,3.98,19.27,0.0007,0.0885,2.02,0.05,17.51592356687898,98.72611464968153,100.0,75.47770700636943,45.828025477707,67.19745222929937,70.80891719745222,19.0
ANET,0.57,0.72,10159165.0,0.92,-2.95,16.6,0.0011,0.7344,2.07,0.02,28.662420382165603,80.89171974522293,99.36305732484077,97.77070063694268,70.95541401273886,29.49044585987261,70.53821656050957,20.0
SHW,0.24,1.1,2094805.0,2.49,2.34,9.89,0.0002,0.3587,1.86,0.01,85.03184713375796,93.94904458598727,94.90445859872611,33.43949044585987,28.280254777070063,24.84076433121019,69.80254777070063,21.0
IDXX,0.41,0.44,793820.0,1.97,-0.81,14.22,0.0006,1.1983,4.68,0.04,1.2738853503184715,90.44585987261146,97.45222929936305,88.53503184713377,62.961783439490446,65.79617834394905,68.5127388535032,22.0
LULU,0.49,1.09,3486130.0,4.75,4.6,-5.4,0.0068,0.3655,1.92,0.07,83.7579617834395,77.07006369426752,18.471337579617835,93.63057324840764,75.92356687898089,71.17834394904459,68.46815286624205,23.0
TRV,0.25,1.2,1212705.0,0.5,4.03,5.84,0.0001,1.1163,2.65,0.02,91.0828025477707,75.79617834394905,84.71337579617835,39.490445859872615,30.4140127388535,52.86624203821656,68.35987261146497,24.0
PAYC,0.4,0.98,710765.0,3.8,7.69,-2.06,0.0003,0.1707,4.33,0.05,73.56687898089172,92.35668789808918,28.662420382165603,84.71337579617835,31.114649681528665,86.27388535031848,67.98089171974523,25.0
MOH,0.55,0.7,1700305.0,0.93,4.15,5.71,0.0005,1.3047,0.84,0.04,24.840764331210192,80.2547770700637,84.07643312101911,95.85987261146497,59.71337579617834,55.85987261146497,67.78343949044586,26.0
AZO,0.22,1.06,112335.0,-0.41,2.59,7.58,0.0026,1.1389,2.2,0.02,80.2547770700637,66.87898089171973,89.80891719745223,21.97452229299363,82.54777070063693,44.68152866242038,66.75159235668791,27.0
XYL,0.26,0.95,1243090.0,2.51,2.08,8.43,0.0001,0.3478,1.99,0.01,69.42675159235668,89.171974522293,92.99363057324841,44.904458598726116,17.229299363057322,26.146496815286625,65.85031847133759,28.0
SPG,0.26,0.88,1491880.0,1.8,1.89,5.65,0.0013,0.2097,3.33,0.02,58.59872611464968,74.52229299363057,83.43949044585987,44.904458598726116,59.14012738853503,51.81528662420382,64.86942675159236,29.0
ALLE,0.25,0.85,892340.0,3.01,3.03,4.14,0.003,0.0189,2.68,0.04,53.18471337579618,84.71337579617835,69.42675159235668,39.490445859872615,63.47133757961784,67.32484076433121,64.70382165605096,30.0
EIX,0.34,0.74,3630220.0,3.33,0.18,5.0,0.0012,4.1064,2.07,0.02,31.528662420382165,77.70700636942675,79.61783439490446,73.56687898089172,83.08917197452229,33.82165605095541,64.38216560509555,31.0
HIG,0.23,0.98,1483465.0,0.62,2.65,8.65,0.0001,0.6515,2.04,0.02,73.56687898089172,79.61783439490446,93.63057324840764,28.02547770700637,24.68152866242038,42.197452229299365,64.23566878980893,32.0
SNA,0.26,0.93,249060.0,3.62,2.83,1.51,0.0003,0.6667,6.79,0.06,65.60509554140127,82.16560509554141,52.22929936305732,44.904458598726116,43.34394904458599,88.37579617834395,64.01592356687898,33.0
PNR,0.27,0.84,1498225.0,3.98,3.45,5.36,0.0001,0.0827,1.21,0.02,50.0,94.90445859872611,81.21019108280255,49.36305732484077,11.114649681528661,38.439490445859875,62.32802547770701,34.0
D,0.23,0.95,4818305.0,1.06,1.24,5.36,0.0003,0.6436,6.72,0.04,69.42675159235668,64.96815286624204,81.21019108280255,28.02547770700637,42.5796178343949,74.77707006369427,62.30891719745223,35.0
TROW,0.29,0.91,1469740.0,3.6,1.17,1.27,0.0003,1.1557,5.57,0.05,63.37579617834395,71.3375796178344,50.318471337579616,59.23566878980891,49.07643312101911,78.02547770700637,62.1687898089172,36.0
NVDA,0.52,1.07,160313450.0,1.72,-1.36,2.59,0.0043,0.502,1.17,0.01,81.84713375796179,41.40127388535032,60.509554140127385,94.90445859872611,78.05732484076434,9.61783439490446,61.824840764331206,37.0
